Publication_Name,Quartile,Field,CiteScore
advances in food and nutrition research,Quartile 1,NS,2.91
advances in fuzzy systems,Quartile 2,Other,1.26
advances in gender research,Quartile 2,Other,0.36
advances in genetics,Quartile 1,NS,5.34
advances in geometry,Quartile 3,Other,0.73
advances in geophysics,Quartile 1,NS,2.7
advances in geosciences,Quartile 2,NS,1.68
advances in gerontology,Quartile 4,NS,0.26
"advances in gerontology = uspekhi gerontologii / rossiiskaia akademiia nauk, gerontologicheskoe obshchestvo",Quartile 3,NS,0.18
advances in global change research,Quartile 3,NS,0.68
advances in global leadership,Quartile 4,EC,0.24
advances in group processes,Quartile 3,Other,0.36
advances in health economics and health services research,Quartile 4,NS,0.33
advances in health sciences education,Quartile 1,Other,2.52
advances in heat transfer,Quartile 2,NS,1.22
advances in hematology,Quartile 3,NS,1.41
advances in heterocyclic chemistry,Quartile 1,NS,3.94
advances in high energy physics,Quartile 2,NS,1.65
advances in horticultural science,Quartile 3,NS,0.51
advances in hospitality and leisure,Quartile 4,EC,0.3
advances in human-computer interaction,Quartile 3,Other,1.13
advances in imaging and electron physics,Quartile 4,NS,0.39
advances in immunology,Quartile 1,NS,5.89
advances in industrial and labor relations,Quartile 4,EC,0.21
advances in industrial control,Quartile 4,NS,0.1
advances in information security,Quartile 4,Other,0.35
advances in inorganic chemistry,Quartile 3,NS,1.61
advances in insect physiology,Quartile 1,NS,1.93
advances in integrative medicine,Quartile 3,NS,0.73
advances in intelligent systems and computing,Quartile 4,NS,0.54
advances in international management,Quartile 4,EC,0.37
advances in librarianship,Quartile 3,Other,0.36
advances in library administration and organization,Quartile 3,Other,0.26
advances in life course research,Quartile 2,Other,1.5
advances in management accounting,Quartile 3,EC,0.88
advances in manufacturing,Quartile 1,NS,2.51
advances in marine biology,Quartile 2,NS,2.06
advances in materials research (south korea),Quartile 2,NS,0.86
advances in materials science and engineering,Quartile 2,NS,1.37
advances in mathematical physics,Quartile 3,Other,0.68
advances in mathematics,Quartile 1,Other,1.58
advances in mathematics of communications,Quartile 2,Other,0.94
advances in mechanical engineering,Quartile 2,NS,1.24
advances in mechanics,Quartile 2,NS,1.55
advances in medical sciences,Quartile 1,NS,2.1
advances in medical sociology,Quartile 4,Other,0.38
advances in mental health,Quartile 2,NS,1.43
advances in mental health and intellectual disabilities,Quartile 3,NS,0.66
advances in mergers and acquisitions,Quartile 4,EC,0.17
advances in meteorology,Quartile 2,NS,1.63
advances in microbial physiology,Quartile 1,NS,3.69
advances in military technology,Quartile 3,NS,0.47
advances in mind-body medicine,Quartile 1,NS,1.18
advances in modelling and analysis b,Quartile 4,Other,0.3
advances in molecular toxicology,Quartile 4,NS,0.29
advances in multimedia,Quartile 3,Other,0.9
advances in nano research,Quartile 2,NS,1.15
advances in natural and technological hazards research,Quartile 3,NS,0.57
advances in natural sciences: nanoscience and nanotechnology,Quartile 1,NS,2.53
advances in neonatal care,Quartile 2,NS,1.26
advances in neurobiology,Quartile 3,NS,2.06
advances in neuroimmune biology,Quartile 4,NS,0.53
advances in nonlinear analysis,Quartile 1,Other,5.03
advances in nonlinear variational inequalities,Quartile 4,Other,0.28
advances in nursing science,Quartile 2,NS,1.11
advances in nutrition,Quartile 1,NS,6.62
advances in operations research,Quartile 4,Other,0.45
advances in operator theory,Quartile 2,Other,0.83
advances in ophthalmology and optometry,Quartile 4,NS,0.18
advances in optical technologies,Quartile 3,NS,0.92
advances in optics and photonics,Quartile 1,NS,21.2
advances in optoelectronics,Quartile 3,NS,0.54
advances in organometallic chemistry,Quartile 1,NS,3.81
advances in orthopedics,Quartile 2,NS,1.62
advances in oto-rhino-laryngology,Quartile 3,NS,0.8
advances in parallel computing,Quartile 4,Other,0.38
advances in parasitology,Quartile 1,NS,4.64
advances in pediatrics,Quartile 2,NS,1.87
advances in peritoneal dialysis. conference on peritoneal dialysis,Quartile 3,NS,0.32
advances in pharmacological sciences,Quartile 1,NS,2.56
advances in pharmacology,Quartile 1,NS,4.28
advances in physical chemistry,Quartile 3,NS,1.72
advances in physical organic chemistry,Quartile 3,NS,1.73
advances in physics,Quartile 1,NS,26.47
advances in physics: x,Quartile 1,NS,4.92
advances in polymer science,Quartile 2,NS,2
advances in polymer technology,Quartile 2,NS,1.55
advances in power electronics,Quartile 4,NS,0.5
advances in production engineering and management,Quartile 1,EC,2.67
advances in protein chemistry and structural biology,Quartile 2,NS,2.89
advances in psychiatric treatment,Quartile 4,NS,0
advances in public interest accounting,Quartile 4,EC,0.12
advances in pure and applied mathematics,Quartile 3,Other,0.43
advances in quantum chemistry,Quartile 3,NS,1.04
advances in race and ethnicity in education,Quartile 3,Other,0.22
advances in radiation oncology,Quartile 2,NS,1.93
advances in radio science,Quartile 4,NS,0.5
advances in research on teaching,Quartile 4,Other,0.18
advances in respiratory medicine,Quartile 3,NS,0.66
advances in rheumatology,Quartile 3,NS,1
advances in school mental health promotion,Quartile 3,Other,0.81
advances in science and technology of water resources,Quartile 4,NS,0.45
advances in skin and wound care,Quartile 2,NS,0.86
advances in small animal medicine and surgery,Quartile 4,NS,0.04
advances in space research,Quartile 1,NS,1.97
advances in spatial science,Quartile 4,EC,0.19
advances in strategic management,Quartile 1,EC,1.4
advances in structural engineering,Quartile 2,NS,1.48
advances in surgery,Quartile 2,NS,1.19
advances in sustainability and environmental justice,Quartile 4,NS,0.09
advances in systems science and applications,Quartile 4,NS,0.33
advances in taxation,Quartile 3,EC,0.55
advances in the astronautical sciences,Quartile 4,NS,0.28
advances in the economic analysis of participatory and labor-managed firms,Quartile 3,EC,0.39
advances in the history of rhetoric,Quartile 1,Other,0.22
advances in the study of behavior,Quartile 1,NS,3.26
"advances in the study of entrepreneurship, innovation, and economic growth",Quartile 4,EC,0.19
advances in theoretical and mathematical physics,Quartile 1,Other,1.67
advances in therapy,Quartile 1,NS,3.03
advances in transportation studies,Quartile 4,NS,0.34
advances in tribology,Quartile 2,NS,1.63
advances in urology,Quartile 3,NS,1.24
advances in virology,Quartile 2,NS,2
advances in virus research,Quartile 1,NS,5.46
advances in water resources,Quartile 1,NS,4
advances in wound care,Quartile 1,NS,3.82
advancing microelectronics,Quartile 4,NS,0.02
adverse drug reaction bulletin,Quartile 4,NS,0.35
aegaeum,Quartile 4,Other,0.09
aegyptus,Quartile 4,Other,0
aej - alexandria engineering journal,Quartile 1,NS,4.29
aeolian research,Quartile 1,NS,3.13
aequationes mathematicae,Quartile 2,Other,0.83
aerobiologia,Quartile 1,NS,2.17
aeronautical journal,Quartile 2,NS,1.13
aerosol and air quality research,Quartile 2,NS,2.88
aerosol science and technology,Quartile 2,NS,2.35
aerospace,Quartile 2,NS,1.57
aerospace america,Quartile 4,NS,0.04
aerospace medicine and human performance,Quartile 3,NS,0.69
aerospace science and technology,Quartile 1,NS,3.7
aes: journal of the audio engineering society,Quartile 1,Other,1.31
aesthetic plastic surgery,Quartile 2,NS,1.25
aesthetic surgery journal,Quartile 2,NS,1.35
aestimum,Quartile 2,EC,0.77
aeu - international journal of electronics and communications,Quartile 1,NS,3.4
aevum - rassegna di scienze storiche linguistiche e filologiche,Quartile 2,Other,0.1
affilia - journal of women and social work,Quartile 2,Other,1.2
afinidad,Quartile 4,NS,0.19
africa,Quartile 2,Other,0.76
africa development/afrique et developpement,Quartile 4,Other,0.19
africa education review,Quartile 4,Other,0.38
africa journal of management,Quartile 2,EC,1.65
africa journal of nursing and midwifery,Quartile 4,NS,0.07
africa review,Quartile 1,Other,0.63
africa spectrum,Quartile 1,Other,0.91
africa today,Quartile 2,Other,0.66
africa-europe group for interdisciplinary studies,Quartile 4,Other,0.13
african affairs,Quartile 1,Other,2.7
african american review,Quartile 3,Other,0.08
african and asian studies,Quartile 3,Other,0.12
african and black diaspora,Quartile 2,Other,0.36
african archaeological review,Quartile 1,Other,1.98
african arts,Quartile 2,Other,0.17
african development review,Quartile 2,Other,1.31
african diaspora,Quartile 1,Other,0.47
african dynamics,Quartile 4,Other,0.06
african economic history,Quartile 1,Other,0.52
african entomology,Quartile 3,NS,0.59
african evaluation journal,Quartile 2,Other,0.88
african finance journal,Quartile 4,EC,0.52
african geographical review,Quartile 2,NS,1.44
african health sciences,Quartile 2,NS,1
african historical review,Quartile 2,Other,0.25
african identities,Quartile 2,Other,0.41
african invertebrates,Quartile 4,NS,0.49
african journal biomedical research,Quartile 4,NS,0.18
african journal of aids research,Quartile 3,NS,0.96
african journal of aquatic science,Quartile 3,NS,0.76
african journal of disability,Quartile 1,NS,4.57
african journal of drug and alcohol studies,Quartile 4,NS,0.24
african journal of ecology,Quartile 3,NS,0.91
african journal of economic and management studies,Quartile 1,EC,1.34
african journal of emergency medicine,Quartile 3,NS,0.58
"african journal of food, agriculture, nutrition and development",Quartile 3,NS,0.51
african journal of herpetology,Quartile 3,NS,0.74
"african journal of hospitality, tourism and leisure",Quartile 3,Other,0.38
african journal of infectious diseases,Quartile 4,NS,0.59
african journal of laboratory medicine,Quartile 3,NS,0.87
african journal of legal studies,Quartile 4,Other,0.08
african journal of library archives and information science,Quartile 3,Other,0.3
african journal of marine science,Quartile 3,NS,1.04
african journal of paediatric surgery,Quartile 3,NS,0.41
african journal of primary health care and family medicine,Quartile 2,NS,0.96
african journal of range and forage science,Quartile 2,NS,0.99
african journal of reproductive health,Quartile 3,NS,0.7
"african journal of research in mathematics, science and technology education",Quartile 3,Other,0.55
"african journal of science, technology, innovation and development",Quartile 3,NS,0.51
african journal of urology,Quartile 4,NS,0.28
african journal of wildlife research,Quartile 3,NS,0.86
african journalism studies,Quartile 3,Other,0.61
african review of physics,Quartile 4,NS,0.1
african security,Quartile 2,Other,1.09
african security review,Quartile 3,Other,0.35
african sources for african history,Quartile 4,Other,0
african studies,Quartile 2,Other,0.37
african studies quarterly,Quartile 2,Other,0.6
african studies review,Quartile 1,Other,1.14
african vision and eye health,Quartile 4,NS,0.42
african zoology,Quartile 2,NS,0.99
africana linguistica,Quartile 2,Other,0.63
afrika matematika,Quartile 2,Other,0.68
afrique contemporaine,Quartile 4,Other,0.07
afro-asian journal of finance and accounting,Quartile 3,EC,0.59
afte journal,Quartile 4,Other,0.05
afterall,Quartile 2,Other,0.14
agbioforum,Quartile 4,EC,0.4
age and ageing,Quartile 1,NS,3.72
ageing and society,Quartile 1,Other,2.22
ageing international,Quartile 3,Other,1
ageing research reviews,Quartile 1,NS,9.82
agenda,Quartile 4,Other,0
ager,Quartile 2,Other,0.7
aggression and violent behavior,Quartile 1,Other,3.44
aggressive behavior,Quartile 1,Other,3.36
aging,Quartile 1,NS,4.06
aging and disease,Quartile 1,NS,4.75
aging and mental health,Quartile 1,NS,3.01
aging cell,Quartile 1,NS,7.42
aging clinical and experimental research,Quartile 2,NS,2.15
aging male,Quartile 1,NS,3.19
"aging, neuropsychology, and cognition",Quartile 2,Other,2.08
agora,Quartile 4,Other,0.05
agora - estudos classicos em debate,Quartile 4,Other,0
agrarforschung schweiz,Quartile 4,NS,0.16
agrekon,Quartile 3,EC,0.51
agri dergisi,Quartile 3,NS,0.44
agri gene,Quartile 3,NS,0.58
agribusiness,Quartile 1,NS,1.98
agriculturae conspectus scientificus,Quartile 4,NS,0.29
agricultural and food economics,Quartile 2,EC,1.53
agricultural and food science,Quartile 2,NS,1.4
agricultural and forest entomology,Quartile 2,NS,1.56
agricultural and forest meteorology,Quartile 1,NS,4.87
agricultural and resource economics review,Quartile 2,EC,1.1
agricultural commodities,Quartile 4,EC,0.03
agricultural economics (czech republic),Quartile 1,EC,1.17
agricultural economics (united kingdom),Quartile 1,EC,2.72
agricultural economics review,Quartile 4,NS,0.26
agricultural engineering international: cigr journal,Quartile 3,NS,0.42
agricultural finance review,Quartile 2,EC,1.06
agricultural history,Quartile 2,Other,0.21
agricultural history review,Quartile 3,Other,0.36
agricultural research,Quartile 3,NS,0.84
agricultural research in the arid areas,Quartile 4,NS,0.16
agricultural systems,Quartile 1,NS,4.33
agricultural water management,Quartile 1,NS,4.12
agriculture,Quartile 3,NS,0.81
agriculture (switzerland),Quartile 1,NS,2.04
agriculture and food security,Quartile 2,NS,1.52
agriculture and human values,Quartile 1,NS,3.25
agriculture and natural resources,Quartile 2,NS,0.93
"agriculture, ecosystems and environment",Quartile 1,NS,4.42
agris on-line papers in economics and informatics,Quartile 3,EC,0.63
agriscientia,Quartile 4,NS,0.18
agrivita,Quartile 3,NS,0.82
agroalimentaria,Quartile 4,EC,0.07
agrochimica,Quartile 3,NS,0.75
agrociencia,Quartile 3,NS,0.49
agroecology and sustainable food systems,Quartile 2,NS,1.41
agroforestry systems,Quartile 1,NS,2.02
agrokemia es talajtan,Quartile 4,NS,0.36
agronomia colombiana,Quartile 4,NS,0.44
agronomy,Quartile 1,NS,2.59
agronomy for sustainable development,Quartile 1,NS,5.91
agronomy journal,Quartile 1,NS,2.17
agronomy research,Quartile 3,NS,0.72
agypten und levante,Quartile 1,Other,0.42
ai and society,Quartile 1,Other,0.65
ai communications,Quartile 3,Other,1
ai magazine,Quartile 2,Other,2.15
aiaa journal,Quartile 1,NS,2.87
aiaa/ieee digital avionics systems conference - proceedings,Quartile 3,NS,0.68
aib studi,Quartile 3,Other,0.27
aibr revista de antropologia iberoamericana,Quartile 1,Other,0.53
aiccm bulletin,Quartile 2,Other,0.2
aiche journal,Quartile 1,NS,3.51
"aiche, ammonia plant safty and related facilities v12 (cep tech manual)",Quartile 4,NS,0.02
aide soignante,Quartile 4,NS,0
aids,Quartile 1,NS,3.18
aids and behavior,Quartile 1,NS,3.1
aids care - psychological and socio-medical aspects of aids/hiv,Quartile 1,Other,2.12
aids education and prevention,Quartile 1,Other,2.4
aids patient care and stds,Quartile 1,NS,3.54
aids research and human retroviruses,Quartile 3,NS,1.53
aids research and therapy,Quartile 2,NS,2.17
aids research and treatment,Quartile 2,NS,1.39
aids reviews,Quartile 2,NS,1.85
aij journal of technology and design,Quartile 3,NS,0.09
aila review,Quartile 1,Other,1.47
aims agriculture and food,Quartile 3,NS,0.87
aims biophysics,Quartile 3,NS,1.35
aims energy,Quartile 3,NS,0.7
aims journal,Quartile 4,NS,0.01
aims materials science,Quartile 3,NS,1.14
aims neuroscience,Quartile 4,NS,1.05
ain shams engineering journal,Quartile 1,NS,2.89
aip advances,Quartile 2,NS,1.72
aip conference proceedings,Quartile 4,NS,0.37
air force magazine,Quartile 4,NS,0
air medical journal,Quartile 3,NS,0.46
"air quality, atmosphere and health",Quartile 1,NS,2.68
"air, soil and water research",Quartile 3,NS,1.15
aircraft engineering and aerospace technology,Quartile 2,NS,1.11
airline business,Quartile 4,EC,0.01
aistech - iron and steel technology conference proceedings,Quartile 4,NS,0.17
aisthesis,Quartile 3,Other,0.04
aisthesis (italy),Quartile 1,Other,0.3
ajalooline ajakiri,Quartile 4,Other,0.02
ajatus,Quartile 4,Other,0.04
ajob empirical bioethics,Quartile 1,Other,1.05
ajob neuroscience,Quartile 4,NS,0.59
ajp reports,Quartile 2,NS,1.17
ajs review,Quartile 1,Other,0.26
akademik acil tip olgu sunumlari dergisi,Quartile 4,NS,0
akce international journal of graphs and combinatorics,Quartile 3,Other,0.72
akkadica,Quartile 4,Other,0.06
aktuelle dermatologie,Quartile 4,NS,0.05
aktuelle ernahrungsmedizin klinik und praxis,Quartile 4,NS,0.27
aktuelle neurologie,Quartile 4,NS,0.17
aktuelle rheumatologie,Quartile 4,NS,0.15
aktuelle urologie,Quartile 4,NS,0.09
akusherstvo i ginekologiya (russian federation),Quartile 4,NS,0.25
akustika,Quartile 4,NS,0.33
akzente,Quartile 4,Other,0
alaska journal of anthropology,Quartile 4,Other,0
alauda,Quartile 4,NS,0.18
albayan,Quartile 2,Other,0.16
alberta journal of educational research,Quartile 4,Other,0.29
